title,abstract,word_count
Vulnerability Detection in Smart Contracts Using Static Analysis and Machine Learning,We combine static analysis with machine learning to detect security vulnerabilities in Ethereum smart contracts before deployment on the blockchain.,20
3D Object Detection from LiDAR Point Clouds Using Voxel-Based Neural Networks,This paper introduces a voxel-based neural network architecture for real-time 3D object detection from LiDAR point clouds in autonomous driving scenarios.,21
Counterfactual Explanations for Machine Learning Models in Lending Decisions,"We generate counterfactual explanations for loan approval models, showing applicants what changes would lead to different lending decisions.",18
Transfer Learning for Wildlife Conservation: Automated Species Identification from Camera Traps,"This work applies transfer learning to identify animal species from camera trap images, supporting biodiversity monitoring in protected areas.",19
Neural Machine Translation for Sign Language: Converting Video to Text,We develop a neural system that translates sign language videos into written text using spatial-temporal convolutional and recurrent networks.,19
Optimizing Database Query Performance Using Learned Index Structures,"This study replaces traditional B-tree indexes with learned neural models, achieving up to 3x faster query times on sorted datasets.",20
Social Robot Navigation in Crowded Environments Using Deep Reinforcement Learning,We train social robots to navigate crowded human environments using deep reinforcement learning with human trajectory prediction.,17
Fake Review Detection on E-Commerce Platforms Using Behavioral Features,This paper identifies fake product reviews by analyzing reviewer behavioral patterns rather than review text content alone.,17
Compressed Sensing MRI Reconstruction Using Deep Learning for Faster Scans,"We develop a deep learning method that reconstructs high-quality MRI images from highly undersampled k-space data, enabling faster patient scanning.",20
Knowledge Graph Completion Using Embeddings and Logical Rules,This work combines embedding-based methods with logical rule inference to complete missing facts in large-scale knowledge graphs.,17
Differential Privacy in Deep Learning: A Practical Implementation Guide,"We provide practical guidelines for implementing differential privacy in deep learning training, with experiments on image classification benchmarks.",18
Handwritten Text Recognition Using Convolutional-Recurrent Neural Networks,This study develops a CNN-RNN hybrid model for recognizing handwritten text in historical documents without requiring character-level segmentation.,18
Active Learning Strategies for Minimizing Annotation Costs in NLP,"We compare active learning strategies for NLP tasks, showing that uncertainty sampling can reduce annotation needs by 40 percent with minimal performance loss.",23
Deepfake Video Detection Using Temporal Inconsistency Analysis,This paper detects deepfake videos by analyzing temporal inconsistencies in facial movements across video frames using recurrent neural networks.,19
Reinforcement Learning from Human Feedback for Dialogue System Optimization,"We train dialogue systems using reinforcement learning from human feedback, improving response quality and reducing harmful outputs.",17
Time Series Forecasting for Renewable Energy Production Using Neural Networks,"This work develops neural network models for forecasting solar and wind energy production, improving grid stability through accurate predictions.",19
Automated Bug Localization in Software Using Deep Learning on Source Code,We propose a deep learning model that localizes software bugs by analyzing source code changes and bug reports without executing the program.,22
Cross-Modal Retrieval: Matching Images and Text Using Shared Embeddings,"This study learns joint embedding spaces for images and text, enabling efficient cross-modal retrieval in large multimedia collections.",18
Data Augmentation Techniques for Small Medical Imaging Datasets,We evaluate data augmentation strategies for medical image classification when only limited training data is available from rare conditions.,19
Natural Language Inference Using Decomposable Attention Neural Networks,This paper presents an efficient neural architecture for natural language inference that decomposes the problem using attention mechanisms.,18
Sarcasm Detection in Online Conversations Using Contextual Embeddings,We develop a sarcasm detection model that uses conversational context and emoji patterns to identify ironic statements in social media.,20
Efficient Sparse Matrix Multiplication on GPUs for Graph Neural Networks,This work optimizes sparse matrix operations on GPUs to accelerate graph neural network training on large-scale graph datasets.,18
Domain Adaptation for Sentiment Classification Across Product Categories,We propose unsupervised domain adaptation methods that transfer sentiment classifiers between different product categories without labeled target data.,18
Autonomous Drone Path Planning Using Deep Q-Networks in GPS-Denied Environments,This study enables autonomous drone navigation in GPS-denied indoor environments using deep reinforcement learning with visual input only.,18
Named Entity Recognition for Scientific Literature Using SciBERT,"We fine-tune SciBERT for named entity recognition in scientific papers, improving extraction accuracy of methods, materials, and metrics.",18
Anomaly Detection in Financial Transactions Using Autoencoder Neural Networks,This paper develops an autoencoder-based system for detecting anomalous financial transactions in real-time payment processing systems.,16
Multi-Task Learning for Joint Intent Detection and Slot Filling in Dialogue,We propose a multi-task learning framework that jointly optimizes intent detection and slot filling for task-oriented dialogue systems.,18
Text Style Transfer for Simplifying Medical Information for Patients,This work develops a text style transfer model that automatically simplifies complex medical literature for general patient comprehension.,18
Visual Question Answering for Blind Users: Describing Images from Natural Questions,"We build a visual question answering system designed for blind users, providing natural language descriptions of images in response to spoken questions.",22
Optimizing Neural Network Compression Through Structured Pruning Techniques,"This study evaluates structured pruning methods for neural network compression, finding optimal pruning ratios that balance speed and accuracy.",19
Predicting Protein-Protein Interactions Using Graph Convolutional Networks,We apply graph convolutional networks to predict protein-protein interactions from amino acid sequences and structural features.,16
Bias Detection in Word Embeddings: Measuring Gender Stereotypes,This paper quantifies gender bias in pre-trained word embeddings and proposes debiasing methods that preserve linguistic utility.,17
Scene Text Recognition in the Wild Using Attention-Based Sequence Models,"We develop an attention-based sequence model that recognizes text in natural scene images with varying fonts, orientations, and lighting conditions.",20
Dialogue State Tracking for Multi-Domain Conversational Agents,This work improves dialogue state tracking across multiple domains using a slot attention mechanism that handles domain transitions.,18
Graph-Based Fraud Detection in Online Payment Networks,We model online payment networks as graphs and apply graph neural networks to detect fraudulent transactions and suspicious account patterns.,20
Automated Essay Scoring Using Regression-Based Neural Networks,This study develops neural regression models for automated essay scoring that achieve high agreement with human raters across diverse prompts.,20
Indoor Positioning Systems Using WiFi Fingerprinting and Deep Learning,We use deep learning on WiFi signal fingerprints to achieve room-level indoor positioning accuracy without dedicated hardware.,17
Language Model Pretraining on Scientific Text for Biomedical NLP Tasks,This work demonstrates that continued pretraining of language models on scientific literature improves performance on downstream biomedical NLP tasks.,19
Video Action Recognition Using SlowFast Networks for Surveillance Applications,"We adapt SlowFast networks for real-time action recognition in surveillance video, detecting anomalous behaviors in public spaces.",17
Neural Rendering for Creating Photorealistic 3D Scenes from 2D Images,This paper presents a neural rendering approach that reconstructs photorealistic 3D scenes from sparse 2D photographs using implicit representations.,19
Spelling Correction for Search Engines Using Noisy Channel Models,We implement a noisy channel model for query spelling correction that handles context-dependent errors and out-of-vocabulary words.,17
