Example,Method,Generated Title,Label,Reason
4,Top-k (k=10),neural radiance fields are used to generate arbitrary viewpoints. images can be seen from 3D angles.,Hallucinated,"Multiple unsupported concepts: {'angles.', 'used', 'viewpoints.', 'generate', 'seen'}"
5,Greedy,open-vocabulary object detection methods identify arbitrary object categories described by natural language using vision-language models.,Grounded,All major ideas supported by abstract
5,Temperature 0.7,open-vocabulary objects detection methods identify arbitrary object categories described by natural language using vision-language models.,Grounded,All major ideas supported by abstract
5,Temperature 1.0,arbitrary object categories defined by natural language. a study is to find out how the method can identify objects of the object category.,Hallucinated,"Multiple unsupported concepts: {'defined', 'category.', 'language.', 'find', 'objects', 'method'}"
5,Temperature 1.3,open-vocabulary object detection methods identify arbitrary objects categories described by natural language.,Partially Grounded,"Minor unsupported details: {'objects', 'language.'}"
5,Top-k (k=10),study investigates open-vocabulary object detection methods. the results were compared to the results from the study in natural language using vision-language models.,Hallucinated,"Multiple unsupported concepts: {'methods.', 'from', 'results', 'compared'}"
6,Greedy,deep learning models for predictive maintenance in manufacturing. forecasting equipment failures from sensor data to minimize downtime.,Grounded,All major ideas supported by abstract
6,Temperature 0.7,deep learning models for predictive maintenance.,Grounded,All major ideas supported by abstract
6,Temperature 1.0,a deep learning model provides insights into predictive maintenance. the model allows us to predict equipment failures.,Hallucinated,"Multiple unsupported concepts: {'maintenance.', 'predict', 'failures.', 'allows', 'model', 'provides', 'insights'}"
6,Temperature 1.3,new-tool concepts of deep learning model are available in development.,Hallucinated,"Multiple unsupported concepts: {'available', 'concepts', 'model', 'development.', 'new-tool'}"
6,Top-k (k=10),deep learning models for predictive maintenance in manufacturing. forecasting equipment failures from sensor data to minimize downtime.,Grounded,All major ideas supported by abstract
7,Greedy,this work applies transformer models to query-focused multi-document summarization. summaries address specific information needs.,Grounded,All major ideas supported by abstract
7,Temperature 0.7,work applies transformer models to query-focused multi-document summarization. generating concise summaries that address specific information needs.,Grounded,All major ideas supported by abstract
7,Temperature 1.0,a paper containing multiple document summarization is called “transformatable” which generates summaries for each document.,Hallucinated,"Multiple unsupported concepts: {'containing', 'summarization', '“transformatable”', 'document', 'document.', 'generates', 'multiple', 'called'}"
7,Temperature 1.3,the work applies transformer models to query-focused multi-document summarization. summaries were specifically addressed on specific information needs with a variety of formats. now they are available.,Hallucinated,"Multiple unsupported concepts: {'available.', 'formats.', 'addressed', 'specifically', 'now', 'needs', 'summarization.', 'variety'}"
7,Top-k (k=10),this work applies transformer models to query-focused multi-document summarization. summaries address specific information needs.,Grounded,All major ideas supported by abstract
8,Greedy,we propose efficient neural network architectures for real-time object detection on edge devices with limited computational resources and power budgets.,Grounded,All major ideas supported by abstract
8,Temperature 0.7,we propose efficient neural network architectures for real-time object detection on edge devices with limited computing resources and power budgets.,Grounded,All major ideas supported by abstract
8,Temperature 1.0,proposal for real-time object detection on edge devices. based on computational and power budgets.,Partially Grounded,"Minor unsupported details: {'proposal', 'devices.'}"
8,Temperature 1.3,"use the neural network architecture to detect images on edge devices, with limited computational resources and power budgets.",Hallucinated,"Multiple unsupported concepts: {'architecture', 'images', 'detect', 'use', 'devices,'}"
8,Top-k (k=10),we propose efficient neural networks architectures for real-time object detection on edge devices with limited computational resources and power budgets.,Grounded,All major ideas supported by abstract
9,Greedy,study investigates self-supervised learning methods for visual representation learning.,Grounded,All major ideas supported by abstract
9,Temperature 0.7,etiquette: the study has a look at self-supervised learning.,Partially Grounded,"Minor unsupported details: {'learning.', 'look', 'etiquette:'}"
9,Temperature 1.0,study identifies techniques employed to conduct visual representation learning through self-supervised learning.,Hallucinated,"Multiple unsupported concepts: {'conduct', 'techniques', 'employed', 'learning.', 'identifies'}"
9,Temperature 1.3,study seeks self-supervised supervised visual representation learning patterns. generating supervisory signals from unlabeled image data generate-based patterns by hand.,Hallucinated,"Multiple unsupported concepts: {'data', 'generate-based', 'supervised', 'generating', 'seeks', 'patterns', 'hand.', 'patterns.'}"
9,Top-k (k=10),evaluated study investigates self-supervised learning.,Partially Grounded,"Minor unsupported details: {'evaluated', 'learning.'}"
10,Greedy,we compare extractive and abstract text summarization methods. we propose hybrid approaches that combine sentence selection with neural generation.,Partially Grounded,"Minor unsupported details: {'methods.', 'abstract', 'propose'}"
10,Temperature 0.7,comparing extractive and abstract text summarization methods. we propose hybrid approaches that combine sentence selection with neural generation.,Hallucinated,"Multiple unsupported concepts: {'methods.', 'abstract', 'comparing', 'propose'}"
10,Temperature 1.0,present findings for the summarization of text summarization. researchers propose hybrid approaches that combine sentence selection with neural generation.,Hallucinated,"Multiple unsupported concepts: {'findings', 'researchers', 'present', 'propose', 'summarization.'}"
10,Temperature 1.3,"we try novel approaches that combine sentence selection with neural generation. contrasting abstract text summarization method has drawn comparison, for example.",Hallucinated,"Multiple unsupported concepts: {'method', 'abstract', 'comparison,', 'example.', 'contrasting', 'try', 'drawn'}"
10,Top-k (k=10),comparing abstract and extractive text summarization methods and hybrid approaches to neural generation. the hybrid approach blends sentence selection and neural generation with the abstract abstract formula.,Hallucinated,"Multiple unsupported concepts: {'blends', 'comparing', 'abstract', 'formula.', 'methods', 'generation'}"
11,Greedy,this paper develops uncertainty-aware deep learning models for autonomous driving perception.,Grounded,All major ideas supported by abstract
11,Temperature 0.7,this paper develops uncertainty-aware deep learning models. autonomous driving perception estimates uncertainty to improve safety in critical scenarios.,Partially Grounded,"Minor unsupported details: {'models.', 'estimates'}"
11,Temperature 1.0,uncertainty-aware models of autonomous driving perception to predict uncertainty to improve safety in critical scenarios.,Grounded,All major ideas supported by abstract
11,Temperature 1.3,concepts estimate the safety of uncertainty scenarios.,Grounded,All major ideas supported by abstract
11,Top-k (k=10),this paper develops uncertainty-aware deep learning models for autonomous driving perception.,Grounded,All major ideas supported by abstract
12,Greedy,visual-language pretraining objectives learn joint representations of images and text for downstream vision-language understanding tasks.,Grounded,All major ideas supported by abstract
12,Temperature 0.7,visual-language pretraining objectives learn joint representations of images and text for downstream vision-language understanding tasks.,Grounded,All major ideas supported by abstract
12,Temperature 1.0,visual-language pretraining objectives learn joint representations of images. visual-language pretrainings can be customized to meet specific needs.,Hallucinated,"Multiple unsupported concepts: {'meet', 'needs.', 'customized', 'pretrainings', 'specific', 'images.'}"
12,Temperature 1.3,the view-language mapping task requires visual-language pretraining objectives. the process of the learning follows this project while visual language will learn corresponding visual-language concepts.,Hallucinated,"Multiple unsupported concepts: {'project', 'visual', 'concepts.', 'requires', 'learning', 'process', 'language', 'mapping', 'while', 'corresponding', 'objectives.', 'task', 'view-language', 'follows'}"
12,Top-k (k=10),vision-language pretraining objectives learn joint representations of images and text.,Grounded,All major ideas supported by abstract
13,Greedy,class activation map techniques for weakly supervised object localization predict bounding boxes from image-level classification labels.,Grounded,All major ideas supported by abstract
13,Temperature 0.7,this study proposes class activation map techniques for weakly supervised object localization. visualizations predict bounding boxes from image-level classification labels.,Partially Grounded,"Minor unsupported details: {'localization.', 'visualizations'}"
13,Temperature 1.0,class activation maps can predict bounding boxes.,Partially Grounded,"Minor unsupported details: {'maps', 'boxes.'}"
13,Temperature 1.3,this study proposes class activation map techniques for weakly supervised object localization that predict bounding boxes from image-level classification labels.,Grounded,All major ideas supported by abstract
13,Top-k (k=10),this paper proposes class activation map techniques for weakly supervised object localization. the study predicts bounding boxes from image-level classification labels.,Partially Grounded,"Minor unsupported details: {'localization.', 'predicts'}"
14,Greedy,cross-domain image classification is a tool for cross-domain image classification. we explore zero-shot transfer learning methods.,Partially Grounded,"Minor unsupported details: {'tool', 'methods.', 'classification.'}"
14,Temperature 0.7,zero-shot transfer learning methods are used for cross-domain image classification. we explore zero-shot transfer learning methods for cross-domain image classification.,Partially Grounded,"Minor unsupported details: {'used', 'classification.'}"
14,Temperature 1.0,we explore zero-shot transfer learning methods to implement cross-domain image classification. we adapt models to new visual domains without target domain annotations.,Partially Grounded,"Minor unsupported details: {'implement', 'classification.'}"
14,Temperature 1.3,cross--domain image classification: cross-domain classification to adapt models to new visual domains without target audience annotation. we explore zero-shot transfer methods for cross-domain image classification.,Hallucinated,"Multiple unsupported concepts: {'annotation.', 'classification:', 'cross--domain', 'audience', 'classification.'}"
14,Top-k (k=10),we explore zero-shot transfer learning methods to adapt models to new visual domains without target domain annotation.,Grounded,All major ideas supported by abstract
15,Greedy,neural model converts informal social media text to standard written form. neural model is used to convert informal text to standard written form.,Partially Grounded,"Minor unsupported details: {'convert', 'used', 'form.'}"
15,Temperature 0.7,neural model converts informal text to standard written form for downstream processing.,Grounded,All major ideas supported by abstract
15,Temperature 1.0,created to convert informal text to a written form for downstream NLP processing.,Partially Grounded,"Minor unsupported details: {'created', 'convert'}"
15,Temperature 1.3,we use a neural model to convert informal text text to standard word form. it is currently designed for downstream text processing.,Hallucinated,"Multiple unsupported concepts: {'designed', 'word', 'form.', 'convert', 'currently', 'use'}"
15,Top-k (k=10),a neural model converts informal social media text to standard written form. we are looking for the neural model that converts informal text to formal form.,Partially Grounded,"Minor unsupported details: {'looking', 'form.', 'formal'}"
